"price","sqft","bedrooms","baths","age","pool","style","fireplace","waterfront","dom"
157900,2827,3,2,1,0,1,0,0,122
144000,2389,3,2,13,0,1,1,0,35
153000,2789,4,2,63,0,1,0,0,261
186900,2678,3,2,8,0,1,1,0,44
115495,2707,3,2,25,0,1,0,0,21
135000,3029,3,2,25,0,1,1,0,56
117000,2320,3,2,25,0,1,0,0,84
114000,1937,3,2,2,0,1,0,0,88
97900,2419,3,2,18,0,1,0,0,46
224900,3555,3,2,25,0,1,1,0,16
129000,2379,3,2,1,0,1,0,0,233
130000,2051,3,2,25,0,1,0,0,31
134000,2246,3,2,5,0,1,1,0,97
315000,2802,4,4,35,0,1,1,0,41
80000,1486,3,1,35,0,1,1,0,163
114900,1805,3,2,2,0,1,0,0,57
122000,1308,3,2,8,0,1,1,0,7
89000,1588,3,2,25,0,1,0,0,101
120500,2055,3,2,25,0,1,0,0,38
72190,1349,3,2,35,0,1,0,0,25
600000,6119,4,4,63,0,1,1,0,256
33000,1579,3,1,45,0,1,0,0,32
110000,1819,3,2,35,0,1,0,0,5
113000,2166,3,2,25,0,1,1,0,30
125000,1882,3,2,5,0,1,1,0,77
109200,2100,3,2,25,0,1,0,0,17
344900,3972,4,2,5,0,1,1,0,128
100300,1745,3,1,35,0,1,0,0,11
141000,2703,3,2,25,0,1,1,0,39
60000,876,3,1,45,0,1,0,0,46
102500,1800,3,2,25,0,1,0,0,35
210000,4046,3,3,35,0,1,0,0,185
230000,5216,4,3,25,1,1,1,1,365
176900,2374,3,2,1,0,1,1,0,203
184000,3594,4,2,18,0,1,1,0,68
133400,2348,3,2,1,0,1,0,0,39
207249,3390,4,2,1,0,1,1,0,223
40101,850,2,1,63,0,1,0,0,4
154650,2459,3,2,1,0,1,0,0,271
268900,3557,4,3,1,0,1,1,0,76
128900,1851,3,2,8,0,1,1,0,13
82000,1396,3,2,35,0,1,0,0,27
100000,1556,3,1,1,0,1,0,0,36
126000,2301,3,2,25,0,1,1,0,15
144500,2122,4,2,2,0,1,0,0,110
124900,1840,3,2,1,0,1,1,0,7
138500,1541,3,2,13,0,1,0,0,9
103100,1772,3,2,1,0,1,0,0,0
95700,1485,3,2,25,0,1,1,0,89
132500,1296,3,2,18,0,1,0,0,1
142000,2545,3,2,35,0,1,0,0,92
134000,2086,3,2,1,0,1,1,0,3
116000,1843,3,2,18,0,1,0,0,5
60000,1131,3,1,63,0,1,0,0,0
295000,3731,4,3,18,0,1,1,1,77
135000,2135,3,2,25,0,1,1,0,46
168000,2325,3,2,5,1,1,1,0,24
136900,2418,4,2,1,0,1,0,0,36
137900,1595,3,2,25,0,1,0,0,31
135000,2876,3,2,25,0,1,1,0,44
128200,2379,3,2,1,0,1,0,0,149
186000,2940,3,2,35,0,1,1,0,36
110800,1937,3,2,1,0,1,0,0,184
188000,3125,3,2,8,0,1,1,0,10
126900,1886,4,2,1,0,1,1,0,44
168000,1601,3,2,1,0,1,1,0,168
136900,2240,4,2,5,0,1,1,0,91
260000,3052,3,2,8,0,1,1,1,33
196900,2642,4,2,8,0,1,1,0,80
192500,2681,3,2,8,0,1,1,1,56
31000,1590,3,1,45,0,1,1,0,171
126600,2348,3,2,1,0,1,0,0,0
66000,741,1,1,18,1,1,0,0,23
106000,1843,3,2,8,0,1,1,0,5
265000,4688,4,3,63,0,1,1,0,139
139900,2800,3,2,25,1,1,1,0,6
